date,hour,depth,value,variable
2013-10-03,7,0.5,20.20574166666667,temperature
2013-10-03,7,1,20.146116666666668,temperature
2013-10-03,7,1.5,20.066866666666666,temperature
2013-10-03,7,10,7.66175,temperature
2013-10-03,7,10.5,7.56140625,temperature
2013-10-03,7,11,7.43948125,temperature
2013-10-03,7,11.5,7.354511764705882,temperature
2013-10-03,7,12,7.314605263157895,temperature
2013-10-03,7,12.5,7.27375,temperature
2013-10-03,7,2,19.950194117647058,temperature
2013-10-03,7,2.5,19.65435294117647,temperature
2013-10-03,7,3,19.5158,temperature
2013-10-03,7,3.5,19.33238823529412,temperature
2013-10-03,7,4,19.03905294117647,temperature
2013-10-03,7,4.5,18.63378947368421,temperature
2013-10-03,7,5,17.48545,temperature
2013-10-03,7,5.5,14.67860588235294,temperature
2013-10-03,7,6,12.2930875,temperature
2013-10-03,7,6.5,11.164264705882353,temperature
2013-10-03,7,7,10.399821428571428,temperature
2013-10-03,7,7.5,9.719125,temperature
2013-10-03,7,8,9.107225,temperature
2013-10-03,7,8.5,8.62088125,temperature
2013-10-03,7,9,8.207144444444445,temperature
2013-10-03,7,9.5,8.0184,temperature
2013-10-16,7,0.5,17.57501,temperature
2013-10-16,7,1,17.580382352941175,temperature
2013-10-16,7,1.5,17.577057894736843,temperature
2013-10-16,7,2,17.53104705882353,temperature
2013-10-16,7,2.5,17.41735294117647,temperature
2013-10-16,7,3,17.31655,temperature
2013-10-16,7,3.5,17.0897,temperature
2013-10-16,7,4,16.6763,temperature
2013-10-16,7,4.5,15.471011764705882,temperature
2013-10-16,7,5,14.15029375,temperature
2013-10-16,7,5.5,13.48925,temperature
2013-10-16,7,6,13.29052,temperature
2013-10-16,7,6.5,13.24272,temperature
2013-10-16,7,7,13.218831250000001,temperature
2013-10-16,7,7.5,13.210094117647058,temperature
2013-10-16,7,8,13.199941176470588,temperature
2013-10-16,7,8.5,13.192752631578948,temperature
2013-10-16,7,9,13.180754166666667,temperature
2013-10-16,7,9.5,13.1753,temperature
2014-05-14,7,0,21.511341666666667,temperature
2014-05-14,7,0.5,21.05529375,temperature
2014-05-14,7,1,20.71966923076923,temperature
2014-05-14,7,1.5,20.466308333333334,temperature
2014-05-14,7,10,6.8959214285714285,temperature
2014-05-14,7,10.5,6.889546153846154,temperature
2014-05-14,7,11,6.8462499999999995,temperature
