date,hour,depth,value,variable
2020-06-19,7,0,19.875651666666666,temperature
2020-06-19,7,1,19.782306666666667,temperature
2020-06-19,7,2,19.80464,temperature
2020-06-19,7,3,18.98292,temperature
2020-06-19,7,4,17.273443333333333,temperature
2020-06-19,7,5,15.476566666666667,temperature
2020-06-19,7,6,7.29638575,temperature
2020-06-19,7,7,13.671431666666667,temperature
2020-06-19,7,8,12.630068333333334,temperature
2020-06-19,7,9,11.260295,temperature
2020-06-19,7,13,16.939316666666667,temperature
2020-06-20,7,0,20.453391666666665,temperature
2020-06-20,7,1,20.35905,temperature
2020-06-20,7,2,20.385458333333332,temperature
2020-06-20,7,3,19.048113333333333,temperature
2020-06-20,7,4,17.535745,temperature
2020-06-20,7,5,16.091368333333335,temperature
2020-06-20,7,6,7.55610525,temperature
2020-06-20,7,7,13.786153333333333,temperature
2020-06-20,7,8,12.602323333333334,temperature
2020-06-20,7,9,11.403855,temperature
2020-06-20,7,13,16.9753,temperature
2020-06-21,7,0,21.282073333333333,temperature
2020-06-21,7,1,20.937596666666668,temperature
2020-06-21,7,2,20.74275,temperature
2020-06-21,7,3,19.264185,temperature
2020-06-21,7,4,17.80260666666667,temperature
2020-06-21,7,5,16.130658333333333,temperature
2020-06-21,7,6,7.153386666666667,temperature
2020-06-21,7,7,13.448323333333333,temperature
2020-06-21,7,8,12.783716666666667,temperature
2020-06-21,7,9,11.719863333333333,temperature
2020-06-21,7,13,16.986395,temperature
2020-06-22,7,0,22.132503333333332,temperature
2020-06-22,7,1,21.537856666666666,temperature
2020-06-22,7,2,21.252466666666667,temperature
2020-06-22,7,3,19.24919166666667,temperature
2020-06-22,7,4,17.449188333333332,temperature
2020-06-22,7,5,16.51481,temperature
2020-06-22,7,6,7.4662975,temperature
2020-06-22,7,7,13.391528333333333,temperature
2020-06-22,7,8,12.384856666666666,temperature
2020-06-22,7,9,11.443945,temperature
2020-06-22,7,13,16.987768333333335,temperature
2020-06-23,7,0,22.704436666666666,temperature
2020-06-23,7,1,22.17012,temperature
2020-06-23,7,2,21.79414,temperature
2020-06-23,7,3,19.747813333333333,temperature
2020-06-23,7,4,18.016416666666665,temperature
2020-06-23,7,5,16.344571666666667,temperature
2020-06-23,7,6,7.2209433333333335,temperature
2020-06-23,7,7,13.568118333333334,temperature
2020-06-23,7,8,12.622895,temperature
2020-06-23,7,9,11.462256666666667,temperature
2020-06-23,7,13,16.981181666666664,temperature
2020-06-24,7,0,23.614903333333334,temperature
2020-06-24,7,1,23.517541666666666,temperature
2020-06-24,7,2,23.539794999999998,temperature
2020-06-24,7,3,19.932683333333333,temperature
2020-06-24,7,4,18.078303333333334,temperature
2020-06-24,7,5,16.611693333333335,temperature
2020-06-24,7,6,7.5329033333333335,temperature
2020-06-24,7,7,13.568096666666667,temperature
2020-06-24,7,8,12.325036666666666,temperature
2020-06-24,7,9,11.26745,temperature
2020-06-24,7,13,16.973258333333334,temperature
2020-06-25,7,0,24.141976666666665,temperature
2020-06-25,7,1,24.036528333333333,temperature
2020-06-25,7,2,24.046091666666666,temperature
2020-06-25,7,3,20.355703333333334,temperature
2020-06-25,7,4,18.423491666666667,temperature
2020-06-25,7,5,16.58759166666667,temperature
2020-06-25,7,6,7.335194166666667,temperature
2020-06-25,7,7,13.515948333333334,temperature
2020-06-25,7,8,12.714806666666666,temperature
2020-06-25,7,9,11.753413333333333,temperature
2020-06-25,7,13,16.95552,temperature
2020-06-26,7,0,24.506321666666665,temperature
2020-06-26,7,1,24.375863333333335,temperature
2020-06-26,7,1.5,23.156666666666666,temperature
2020-06-26,7,2,24.384588333333333,temperature
2020-06-26,7,3,20.395531666666667,temperature
2020-06-26,7,4,18.085338333333333,temperature
2020-06-26,7,5,16.450353333333332,temperature
2020-06-26,7,6,14.992016666666666,temperature
2020-06-26,7,7,13.71282,temperature
2020-06-26,7,8,12.643476666666666,temperature
2020-06-26,7,9,11.064061666666667,temperature
2020-06-26,7,13,16.988931666666666,temperature
2020-06-27,7,0,24.310724999999998,temperature
2020-06-27,7,1,24.216923333333334,temperature
2020-06-27,7,1.5,24.606666666666666,temperature
2020-06-27,7,2,24.242226666666667,temperature
2020-06-27,7,3,24.176223333333333,temperature
2020-06-27,7,4,18.569573333333334,temperature
2020-06-27,7,5,16.537616666666665,temperature
2020-06-27,7,6,14.452391666666667,temperature
2020-06-27,7,7,13.448395,temperature
2020-06-27,7,8,12.475728333333333,temperature
2020-06-27,7,9,11.38808,temperature
2020-06-27,7,13,16.969036666666668,temperature
2020-06-28,7,0,24.748565,temperature
2020-06-28,7,1,24.653958333333335,temperature
2020-06-28,7,1.5,24.90833333333333,temperature
2020-06-28,7,2,24.685811666666666,temperature
2020-06-28,7,3,21.164768333333335,temperature
2020-06-28,7,4,19.131011666666666,temperature
2020-06-28,7,5,16.784505,temperature
2020-06-28,7,6,14.850783333333334,temperature
2020-06-28,7,7,13.619993333333333,temperature
2020-06-28,7,8,12.535116666666667,temperature
2020-06-28,7,9,11.559674999999999,temperature
2020-06-28,7,13,16.941995,temperature
2020-06-29,7,0,23.733553333333333,temperature
2020-06-29,7,1,23.641396666666665,temperature
2020-06-29,7,1.5,24.386666666666667,temperature
2020-06-29,7,2,23.671319999999998,temperature
2020-06-29,7,3,23.619516666666666,temperature
2020-06-29,7,4,18.818733333333334,temperature
2020-06-29,7,5,16.895156666666665,temperature
2020-06-29,7,6,14.817556666666666,temperature
2020-06-29,7,7,13.296335000000001,temperature
2020-06-29,7,8,12.345686666666666,temperature
2020-06-29,7,9,11.411796666666667,temperature
2020-06-29,7,13,16.918106666666667,temperature
2020-06-30,7,0,25.31685,temperature
2020-06-30,7,1,25.211653333333334,temperature
