"Sandy loam"||"117601363"|"119636129"
"Sandy loam"||"117601362"|"119636128"
"Sandy clay loam"||"117601361"|"119636127"
"Sandy clay loam"||"117601360"|"119636171"
"Sandy clay loam"||"117601359"|"119636212"
"Sandy loam"||"117601358"|"119636170"
"Sandy clay loam"||"117601357"|"119636211"
"Sandy clay loam"||"117601356"|"119636394"
"Clay loam"||"117601355"|"119636393"
"Fine sandy loam"||"117601354"|"119636392"
"Fine sandy loam"||"117601353"|"119636391"
"Loam"||"117601352"|"119636210"
|"Bedrock"|"117600894"|"119636275"
"Sandy loam"||"117600893"|"119635721"
"Fine sandy loam"||"117600892"|"119636274"
"Sandy loam"||"117600891"|"119636273"
"Loam"||"117600890"|"119636272"
"Sandy loam"||"117600889"|"119636024"
"Fine sandy loam"||"117600888"|"119635861"
"Loam"||"117600887"|"119635860"
"Sandy loam"||"117600886"|"119635704"
"Loam"||"117601343"|"119636080"
"Fine sandy loam"||"117601342"|"119635774"
"Clay loam"||"117601341"|"119636079"
"Sandy clay loam"||"117601340"|"119635915"
"Clay"||"117601339"|"119635914"
"Clay loam"||"117601338"|"119635913"
"Fine sandy loam"||"117601337"|"119635912"
"Loam"||"117601336"|"119636078"
"Loam"||"117601335"|"119636077"
"Fine sandy loam"||"117601334"|"119635773"
"Clay loam"||"117601333"|"119636076"
"Sandy clay loam"||"117601332"|"119635772"
"Clay"||"117601331"|"119635911"
"Clay loam"||"117601330"|"119635910"
"Fine sandy loam"||"117601329"|"119635909"
"Loam"||"117601328"|"119635908"
"Loam"||"117601166"|"119636340"
"Fine sandy loam"||"117601165"|"119636339"
"Clay loam"||"117601164"|"119636338"
"Sandy clay loam"||"117601163"|"119636337"
"Clay"||"117601162"|"119636336"
"Clay loam"||"117601161"|"119635767"
"Fine sandy loam"||"117601160"|"119636071"
"Loam"||"117601159"|"119635766"
"Loam"||"117600947"|"119635754"
"Sandy loam"||"117600946"|"119636059"
"Loamy sand"||"117600945"|"119635753"
"Sandy clay loam"||"117600944"|"119636321"
"Sandy loam"||"117600943"|"119636320"
"Clay loam"||"117600942"|"119636319"
"Sandy clay loam"||"117600941"|"119636318"
"Loam"||"117600940"|"119635752"
"Sandy loam"||"117600939"|"119636058"
"Fine sandy loam"||"117600938"|"119635751"
"Loam"||"117601327"|"119636057"
"Sandy loam"||"117601326"|"119635750"
"Loamy sand"||"117601325"|"119636056"
"Sandy clay loam"||"117601324"|"119635749"
"Sandy loam"||"117601323"|"119635897"
"Clay loam"||"117601322"|"119635896"
"Sandy clay loam"||"117601321"|"119635895"
"Loam"||"117601320"|"119635894"
"Sandy loam"||"117601319"|"119635893"
"Fine sandy loam"||"117601318"|"119636055"
"Loam"||"117601317"|"119635892"
"Sandy loam"||"117601316"|"119635748"
"Loamy sand"||"117601315"|"119636054"
"Sandy clay loam"||"117601314"|"119635747"
"Sandy loam"||"117601313"|"119636053"
"Clay loam"||"117601312"|"119636317"
"Sandy clay loam"||"117601311"|"119636316"
"Loam"||"117601310"|"119636315"
"Sandy loam"||"117601309"|"119636314"
"Fine sandy loam"||"117601308"|"119636052"
"Loam"||"117600937"|"119636284"
"Sandy loam"||"117600936"|"119636283"
"Loamy sand"||"117600935"|"119635710"
"Sandy clay loam"||"117600934"|"119636011"
"Sandy loam"||"117600933"|"119635709"
"Clay loam"||"117600932"|"119636010"
"Sandy clay loam"||"117600931"|"119635848"
"Sandy loam"||"117600930"|"119636047"
"Fine sandy loam"||"117600929"|"119635742"
"Loam"||"117600928"|"119635847"
