"SC-SM"|Yes|"58653044"|"109822778"
"SC"|Yes|"58653043"|"109822777"
"CL"|Yes|"58653042"|"109822775"
"SC"|No |"58653042"|"109822776"
"CL"|No |"58653041"|"109822773"
"SC-SM"|Yes|"58653041"|"109822774"
"SC-SM"|No |"58652855"|"109822297"
"SC"|Yes|"58652855"|"109822298"
"SC-SM"|No |"58652854"|"109822294"
"SM"|No |"58652854"|"109822295"
"SC"|Yes|"58652854"|"109822296"
"CL"|No |"58653036"|"109822756"
"ML"|Yes|"58653036"|"109822757"
"SC"|No |"58653036"|"109822758"
"SM"|No |"58653036"|"109822759"
"CL"|Yes|"58653035"|"109822755"
"CH"|No |"58653034"|"109822751"
"CL"|No |"58653034"|"109822752"
"MH"|No |"58653034"|"109822753"
"ML"|Yes|"58653034"|"109822754"
"CL"|No |"58653033"|"109822747"
"ML"|Yes|"58653033"|"109822748"
"SC"|No |"58653033"|"109822749"
"SM"|No |"58653033"|"109822750"
"CL"|No |"58653032"|"109822743"
"ML"|Yes|"58653032"|"109822744"
"SC"|No |"58653032"|"109822745"
"SM"|No |"58653032"|"109822746"
"CL"|Yes|"58653031"|"109822742"
"CH"|No |"58653030"|"109822738"
"CL"|No |"58653030"|"109822739"
"MH"|No |"58653030"|"109822740"
"ML"|Yes|"58653030"|"109822741"
"CL"|No |"58653029"|"109822734"
"ML"|Yes|"58653029"|"109822735"
"SC"|No |"58653029"|"109822736"
"SM"|No |"58653029"|"109822737"
"CL"|No |"58652963"|"109822566"
"ML"|Yes|"58652963"|"109822567"
"SC"|No |"58652963"|"109822568"
"SM"|No |"58652963"|"109822569"
"CL"|Yes|"58652962"|"109822565"
"CH"|No |"58652961"|"109822561"
"CL"|No |"58652961"|"109822562"
"MH"|No |"58652961"|"109822563"
"ML"|Yes|"58652961"|"109822564"
"CL"|No |"58652960"|"109822557"
"ML"|Yes|"58652960"|"109822558"
"SC"|No |"58652960"|"109822559"
"SM"|No |"58652960"|"109822560"
"CL-ML"|No |"58652876"|"109822353"
"ML"|No |"58652876"|"109822354"
"SC"|Yes|"58652876"|"109822355"
"SC-SM"|No |"58652876"|"109822356"
"SM"|No |"58652876"|"109822357"
"CL"|No |"58652875"|"109822351"
"SC"|Yes|"58652875"|"109822352"
"CL"|Yes|"58652874"|"109822349"
"SC"|No |"58652874"|"109822350"
"CL-ML"|No |"58652873"|"109822345"
"ML"|Yes|"58652873"|"109822346"
"SC-SM"|No |"58652873"|"109822347"
"SM"|No |"58652873"|"109822348"
"CL-ML"|No |"58653028"|"109822729"
"ML"|No |"58653028"|"109822730"
"SC"|Yes|"58653028"|"109822731"
"SC-SM"|No |"58653028"|"109822732"
"SM"|No |"58653028"|"109822733"
"CL"|No |"58653027"|"109822727"
"SC"|Yes|"58653027"|"109822728"
"CL"|Yes|"58653026"|"109822725"
"SC"|No |"58653026"|"109822726"
"CL-ML"|No |"58653025"|"109822721"
"ML"|Yes|"58653025"|"109822722"
"SC-SM"|No |"58653025"|"109822723"
"SM"|No |"58653025"|"109822724"
"CL-ML"|No |"58653024"|"109822716"
"ML"|No |"58653024"|"109822717"
"SC"|Yes|"58653024"|"109822718"
"SC-SM"|No |"58653024"|"109822719"
"SM"|No |"58653024"|"109822720"
"CL"|No |"58653023"|"109822714"
"SC"|Yes|"58653023"|"109822715"
"CL"|Yes|"58653022"|"109822712"
"SC"|No |"58653022"|"109822713"
"CL-ML"|No |"58653021"|"109822708"
"ML"|Yes|"58653021"|"109822709"
"SC-SM"|No |"58653021"|"109822710"
"SM"|No |"58653021"|"109822711"
"CL-ML"|No |"58652872"|"109822340"
"ML"|No |"58652872"|"109822341"
"SC-SM"|No |"58652872"|"109822342"
"SM"|No |"58652872"|"109822343"
"SC"|Yes|"58652872"|"109822344"
"CL"|No |"58652871"|"109822338"
"SC"|Yes|"58652871"|"109822339"
"CL"|Yes|"58652870"|"109822336"
"SC"|No |"58652870"|"109822337"
"CL-ML"|No |"58652869"|"109822332"
"ML"|Yes|"58652869"|"109822333"
"SC-SM"|No |"58652869"|"109822334"
"SM"|No |"58652869"|"109822335"
